shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence
203_0_1_shp,41.15699,-8.62937,315
203_0_1_shp,41.15698,-8.62934,316
203_0_1_shp,41.15698,-8.62926,317
203_0_1_shp,41.15698,-8.62922,318
203_0_1_shp,41.15698,-8.62918,319
203_0_1_shp,41.15698,-8.62911,320
203_0_1_shp,41.15698,-8.62903,321
203_0_1_shp,41.15699,-8.62901,322
203_0_1_shp,41.15699,-8.62895,323
203_0_1_shp,41.157,-8.62888,324
203_0_1_shp,41.15701,-8.62882,325
203_0_1_shp,41.15704,-8.62872,326
203_0_1_shp,41.15708,-8.62862,327
203_0_1_shp,41.15711,-8.62854,328
203_0_1_shp,41.15713,-8.62849,329
203_0_1_shp,41.15717,-8.62843,330
203_0_1_shp,41.15721,-8.62838,331
203_0_1_shp,41.15725,-8.62832,332
203_0_1_shp,41.15729,-8.62827,333
203_0_1_shp,41.15734,-8.62823,334
203_0_1_shp,41.15738,-8.62818,335
203_0_1_shp,41.15744,-8.62815,336
203_0_1_shp,41.15749,-8.62811,337
203_0_1_shp,41.15754,-8.62808,338
203_0_1_shp,41.1576,-8.62805,339
203_0_1_shp,41.15765,-8.62803,340
203_0_1_shp,41.15771,-8.62801,341
203_0_1_shp,41.15774,-8.62801,342
203_0_1_shp,41.15776,-8.628,343
203_0_1_shp,41.1578,-8.62798,344
203_0_1_shp,41.15784,-8.62797,345
203_0_1_shp,41.15787,-8.62796,346
203_0_1_shp,41.15793,-8.62796,347
203_0_1_shp,41.15799,-8.62795,348
203_0_1_shp,41.15804,-8.62795,349
203_0_1_shp,41.1581,-8.62796,350
203_0_1_shp,41.15811,-8.62796,351
203_0_1_shp,41.15817,-8.62797,352
203_0_1_shp,41.15822,-8.62799,353
203_0_1_shp,41.15828,-8.62801,354
203_0_1_shp,41.15833,-8.62803,355
203_0_1_shp,41.15835,-8.62805,356
203_0_1_shp,41.15839,-8.62808,357
203_0_1_shp,41.15841,-8.62809,358
203_0_1_shp,41.15844,-8.62811,359
203_0_1_shp,41.15846,-8.62813,360
203_0_1_shp,41.15848,-8.62815,361
203_0_1_shp,41.15851,-8.62818,362
203_0_1_shp,41.15856,-8.62823,363
203_0_1_shp,41.1586,-8.62828,364
203_0_1_shp,41.15864,-8.62833,365
203_0_1_shp,41.15868,-8.62839,366
203_0_1_shp,41.15869,-8.62841,367
203_0_1_shp,41.15871,-8.62845,368
203_0_1_shp,41.15875,-8.62852,369
203_0_1_shp,41.15877,-8.62858,370
203_0_1_shp,41.1588,-8.62865,371
203_0_1_shp,41.15882,-8.62872,372
203_0_1_shp,41.15884,-8.6288,373
203_0_1_shp,41.15886,-8.62887,374
203_0_1_shp,41.15887,-8.62892,375
203_0_1_shp,41.15904,-8.62888,376
